city_id,city_name,city_description,state_id
boston,Boston,"Boston is the capital and most populous city[8] of the Commonwealth of Massachusetts in the United States. The city proper covers 48 square miles (124 km2) with an estimated population of 685,094 in 2017,[3] making it also the most populous city in New England.[2] Boston is the seat of Suffolk County as well, although the county government was disbanded on July 1, 1999.[9] The city is the economic and cultural anchor of a substantially larger metropolitan area known as Greater Boston, a metropolitan statistical area (MSA) home to a census-estimated 4.8 million people in 2016 and ranking as the tenth-largest such area in the country.[10] As a combined statistical area (CSA), this wider commuting region is home to some 8.2 million people, making it the sixth-largest in the United States.[11]",massachusetts 
newyorkcity,New york City,"The City of New York, usually called either New York City (NYC) or simply New York (NY), is the most populous city in the United States.[11] With an estimated 2017 population of 8,622,698[7] distributed over a land area of about 302.6 square miles (784 km2),[12][13] New York is also the most densely populated major city in the United States.[14] Located at the southern tip of the state of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban landmass[15] and one of the world's most populous megacities,[16][17] with an estimated 20,320,876 people in its 2017 Metropolitan Statistical Area and 23,876,155 residents in its Combined Statistical Area.[4][5] A global power city,[18] New York City has been described as the cultural,[19][20][21][22] financial,[23][24] and media capital of the world,[25][26] and exerts a significant impact upon commerce,[24] entertainment, research, technology, education, politics, tourism, art, fashion, and sports. The city's fast pace[27][28][29]has inspired the term New York minute.[30] Home to the headquarters of the United Nations,[31] New York is an important center for international diplomacy.[32][33]",newyork
miami,Miami,"Miami, officially the City of Miami, is the cultural, economic and financial center of South Florida. Miami is the seat of Miami-Dade County, the most populous county in Florida. The city covers an area of about 56.6 square miles (147 km2), between the Everglades to the west and Biscayne Bay on the east; with a 2017 estimated population of 463,347, Miami is the sixth most densely populated major city in the United States. The Miami metropolitan areais home to 6.1 million people and the seventh-largest metropolitan area in the nation.[8] Miami's metro area is the second-most populous metropolis in the southeastern United States and fourth-largest urban area in the U.S.[9][10] Miami has the third tallest skyline in the United States with over 300 high-rises, 80 of which stand taller than 400 feet.",florida
chicago,Chicago,"Chicago (/ʃɪˈkɑːɡoʊ/ (listen), locally also /-ˈkɔː-/), officially the City of Chicago, is the most populous city in Illinois, as well as the third most populous city in the United States. With an estimated population of 2,716,450 (2017), it is the most populous city in the Midwest. Chicago is the principal city of the Chicago metropolitan area, often referred to as Chicagoland, and the county seat of Cook County, the second most populous county in the United States. The metropolitan area, at nearly 10 million people, is the third-largest in the United States, and the fourth largest in North America (after Mexico City, New York City and Los Angeles) and the third largest metropolitan area in the world by land area.",illinois
losangeles,Los Angeles,"Los Angeles (/lɔːs ˈændʒələs/ (listen);[a] Spanish: Los Ángeles),[16] officially the City of Los Angeles and often known by its initials L.A., is the most populous city in California, the second most populous city in the United States, after New York City, and the third most populous city in North America. With an estimated population of four million,[17] Los Angeles is the cultural, financial, and commercial center of Southern California. The city is known for its Mediterranean climate, ethnic diversity, Hollywood and the entertainment industry, and its sprawling metropolis. Los Angeles is the largest city on the West Coast of North America.",california
lasvegas,Las Vegas ,"Las Vegas (/lɑːs ˈveɪɡəs/,[6] Spanish for ""The Meadows""; Spanish: [las ˈβeɣas]), officially the City of Las Vegas and often known simply as Vegas, is the 28th-most populated city in the United States, the most populated city in the state of Nevada, and the county seat of Clark County. The city anchors the Las Vegas Valley metropolitan area and is the largest city within the greater Mojave Desert.[7] Las Vegas is an internationally renowned major resort city, known primarily for its gambling, shopping, fine dining, entertainment, and nightlife. The Las Vegas Valley as a whole serves as the leading financial, commercial, and cultural center for Nevada.",nevada
washingtondc,Washington D.C,"Washington, D.C., formally the District of Columbia and commonly referred to as Washington or D.C., is the capital of the United States.[4] Founded after the American Revolution as the seat of government of the newly independent country, Washington was named after George Washington, first President of the United States and Founding Father.[5] As the seat of the United States federal government and several international organizations, Washington is an important world political capital.[6] The city is also one of the most visited cities in the world, with more than 20 million tourists annually.[7][8]",washington
denver,Denver,"Denver (/ˈdɛnvər/), officially the City and County of Denver, is the capital and most populous municipality of the U.S. state of Colorado. Denver is located in the South Platte River Valley on the western edge of the High Plains just east of the Front Range of the Rocky Mountains. The Denver downtown district is immediately east of the confluence of Cherry Creek with the South Platte River, approximately 12 mi (19 km) east of the foothills of the Rocky Mountains. Denver is named after James W. Denver, a governor of the Kansas Territory, and it is nicknamed the Mile High City because its official elevation is exactly one mile (5280 feet or 1609.3 meters) above sea level.[17] The 105th meridian west of Greenwich, the longitudinal reference for the Mountain Time Zone, passes directly through Denver Union Station.",colorado
atlanta,Atlanta,"Atlanta (/ætˈlæntə/) is the capital and most populous city in the U.S. state of Georgia. With an estimated 2017 population of 486,290,[13] it is also the 38th most-populous city in the United States. The city serves as the cultural and economic center of the Atlanta metropolitan area, home to 5.8 million people and the ninth-largest metropolitan area in the nation.[7] Atlanta is the seat of Fulton County, the most populous county in Georgia. A small portion of the city extends eastward into neighboring DeKalb County.",georgia
philadelphia,Philadelphia,"Philadelphia, known colloquially as Philly, is the largest city in the U.S. state and Commonwealth of Pennsylvania, and the sixth-most populous U.S. city, with a 2017 census-estimated population of 1,580,863.[7] Since 1854, the city has been coterminous with Philadelphia County, the most populous county in Pennsylvania and the urban core of the eighth-largest U.S. metropolitan statistical area, with over 6 million residents as of 2017.[5]Philadelphia is also the economic and cultural anchor of the greater Delaware Valley, located along the lower Delaware and Schuylkill Rivers, within the Northeast megalopolis. The Delaware Valley's population of 7.2 million ranks it as the eighth-largest combined statistical area in the United States.[6]",pennsylvania
