Tag_Name,Tag_Occurence_Count,Category_ID
newyork,38,touristplace
losangeles,33,touristplace
miami,32,touristplace
texas,30,touristplace
florida,24,touristplace
atlanta,22,touristplace
california,21,touristplace
newyorkcity,19,touristplace
denver,19,touristplace
sanfrancisco,18,touristplace
photography,18,travelpurpose
philadelphia,18,touristplace
boston,17,touristplace
neworleans,17,touristplace
orlando,16,touristplace
lasvegas,16,touristplace
honolulu,13,touristplace
chicago,13,touristplace
austin,13,touristplace
sandiego,12,touristplace
london,12,touristplace
houston,12,touristplace
art,12,touristplacetype
hawaii,11,touristplace
nashville,11,touristplace
washingtondc,11,touristplace
sanantonio,11,touristplace
seattle,11,touristplace
portland,11,touristplace
georgia,10,touristplace
sanfransisco,10,touristplace
toronto,9,touristplace
dallas,9,touristplace
charleston,9,touristplace
stlouis,9,touristplace
architecture,6,touristplacetype
dekonailloungespa,4,touristplace
boatlife,4,touristplacetype
beverlyhills,3,touristplace
austria,3,touristplace
denmark,3,touristplace
swiss,3,touristplace
brazil,3,touristplace
england,3,touristplace
bangkok,3,touristplace
tennessee,3,touristplace
roadtrip,3,touristplace
colombia,3,touristplace
moscow,2,touristplace
shopping,2,touristplace
berlin,2,touristplace
madrid,2,touristplace
amsterdam,2,touristplace
spain,2,touristplace
japan,2,touristplace
kansas,2,touristplace
pennsylvania,2,touristplace
pittsburgh,2,touristplace
disney,2,touristplace
travelblogger,2,travellertype
streetart,2,touristplacetype
travelguides,2,travellerrequirement
verdevalley,2,touristplace
redrocks,2,touristplace
livemusic,2,touristplacetype
railcar,2,transportoption
jamaica,2,touristplace
southafrica,2,touristplace
kuwait,2,touristplace
haiti,2,touristplace
egypt,2,touristplace
malaysia,2,touristplace
park,2,touristplacetype
outdoors,2,travelplan
honeymoon,2,travelplan
puertorico,2,touristplace
