COMMENTS,City id,DATE_CREATED,LIKES,Post,Post id,User Name
0,boston,4/26/2019 15:13,0,"They have the couch in the bay window as their own 
#misszsazsa #misscoco #sunseekers #boston #bostons #bostonterrier #bostonterriers #bostonsofinstagram #bostonterriersofinstagram #bostielove #bostiebaby #mustlovedogs #dog #lazydogs #blackandwhite",ins100,chandrebo
0,boston,4/26/2019 15:13,1,Thanks to all who tuned in to @concertwindow last night! @lissafiddle brought these beautiful daffodils. NOW we’re ready to ROCK this weekend! #vermont #boston #spring #springinVT #springflowers #livemusic #nightlife #badassflowers,ins101,lowlily1
0,boston,4/26/2019 15:13,1,"Scene list for a new old project

Initiated almost 3 years ago, this project got put on hold several times either on my side or the director’s. We finally set a feasible timetable for this project, which serves as a remedy for both of us.
#screenplay #drama #sütterlin #handwriting #productioncompany #boston #losangeles #sincity #hollywood #script #romance #germany #carmel #artgallery",ins102,nick_j_yeh
0,boston,4/26/2019 15:13,0,"There's a fine line between being a Dulha and being a Jaadugar, so choose your outfit wisely! 
Presenting Designer Achkan by JSJ Bespoke Studio. Made in our special Imported Embossed Fabric. To give some special touch, we have given a Mala with silk pocket square. Designed for special occasion like Wedding and Engagement.

#JSJBespokeStudio #JadejaSatyaJeetBespokeStudio #MakeoverMaster #Designer #Bandhgala #Bespoke #Customized #DesignerOutfit #indianwedding #IndianGroom #Groom #mensfashion #Gentlemen #TailorMade #BespokeOutfit #Stylist #luxurious #Achkan #indianwear #NewJersey #NewYork #Boston #Florida #Texas #California #India",ins103,jsjbespoke
0,boston,4/26/2019 15:13,1,"1966 in Iran. My Mother and Father. All the way to the right is my Dad's best friend Manuchehr. Manuchehr and my Father owned a Construction Company in Atlanta, Georgia in 1988. In 1988 they borrowed 1 million dollars to develop land and build a housing community. Manuchehr got divorced from his Wife, fled the US, and left the debt and the company bankruptcy for my Father. Friends...huh....what are they good for....absolutely nothing!!! #iran #losangeles #iranian #longbeach #sanfrancisco #siliconvalley #newyorkcity #santamonica #sandiego #sanpedro #denver #miami #california #csudh #csun #patriot #usc #ucla #libertarian #gentleman #england  #martialarts #woodlandhills #china #sports #lasvegas #boston #portland #sanjose #author",ins104,kambizmostofi
0,boston,4/26/2019 15:13,4,"Still dance shot. Fabulous performance by my daughter and her Dance Collaborative III friends. Choreographed-amazing!-by her teacher Mrs. Davenport, music by David  Lang & Antonio Vivaldi. .
Festival of the Arts @newtoncountrydayschool .
.
.
@chloewarshaw #dancer #shesgottalent #ballet #contemporarydance #dancecollaborative #girlpower #powerfulwomen #proudmama #daughter #tinydancer #portrait #danceportrait #beauty #strength #power #Art #boston #bostongirls #bostonarts",ins105,ndelisle
0,boston,4/26/2019 15:13,0,They say it is Spring. . . Boston weather hasn’t really gotten the memo. At least the flowers are blooming and beautiful! Did you know this is the most photographed street in the USA?! #beaconhill #boston #acornstreet #springinboston #tulipseverywhere #bostonliving #lifeinboston #touristseverywhere,ins106,jodibean328
0,boston,4/26/2019 15:13,2,"Live And Let Live
.
.
.
.
.
.
#orlando #chicago #atlanta #gratefulheart #peaceful #blessedlife #thankful🙏 #detroit #nashville #boston #philly #denver #losangeles #sandiego #miami #lasvegas #sanfrancisco #london #melbourne #sydney #montreal #toronto #vancouver #seattle #austin #dallas #houston #buddha #buddhaquotes #liveandletlive",ins107,bobmann29
0,boston,4/26/2019 15:12,0,"Tulips are out at the garden! -
-
#boston #bostonpublicgarden #igersboston #tulips #flowers",ins108,paulksayed
0,boston,4/26/2019 15:12,4,"“Boston is an oasis in the desert, a place where the larger proportion of people are loving, rational and happy.” ~Julia Ward Howe
#boston #massachusetts #flowers #cherryblossom #love #travel #usa  #music #newengland #summer #bostondotcom #city #beautiful #architecture #bostonusa #followingboston #spring #igboston617 #blueprintboston #bostondotcom #HowToBoston  #camera #photography #photo #image #photographer #photographers #photography_love #pictures",ins109,photography_lng03
