City_ID,Tweet_Volume,Trend_Topic,Trend_ID
boston,30599,John Havlicek,boston_johnhavlicek
boston,,Charlie Coyle,boston_charliecoyle
boston,132478,Haskins,boston_haskins
boston,,RIP Hondo,boston_riphondo
boston,,#bucciovertimechallenge,boston_bucciovertimechallenge
boston,294766,#NFLDraft,boston_nfldraft
boston,101774,Daniel Jones,boston_danieljones
boston,300581,Giants,boston_giants
boston,,Weymouth,boston_weymouth
boston,,#AvengersEndame,boston_avengersendame
boston,48083,Josh Allen,boston_joshallen
boston,43360,Devin Bush,boston_devinbush
boston,11832,Josh Jacobs,boston_joshjacobs
boston,113689,Raiders,boston_raiders
boston,11516,Montez Sweat,boston_montezsweat
boston,16264,#HTTR,boston_httr
boston,68605,#TaylorSwiftTONIGHT,boston_taylorswifttonight
boston,67197,Redskins,boston_redskins
boston,32152,Ed Oliver,boston_edoliver
boston,,Hollywood Brown,boston_hollywoodbrown
boston,,Jeffery Simmons,boston_jefferysimmons
boston,70647,Kyler Murray,boston_kylermurray
boston,76368,Steelers,boston_steelers
boston,33222,Gettleman,boston_gettleman
boston,49800,Rosen,boston_rosen
boston,,Marquise Brown,boston_marquisebrown
boston,18624,Dillard,boston_dillard
boston,,Noah Fant,boston_noahfant
boston,19250,Christian Wilkins,boston_christianwilkins
boston,45453,Packers,boston_packers
boston,60356,Lions,boston_lions
boston,36436,Ravens,boston_ravens
boston,16042,Rashan Gary,boston_rashangary
boston,,Dexter Lawrence,boston_dexterlawrence
boston,,Tytus Howard,boston_tytushoward
boston,,Jawaan Taylor,boston_jawaantaylor
boston,34292,Ferrell,boston_ferrell
boston,40512,Nick Bosa,boston_nickbosa
boston,28604,Greedy,boston_greedy
boston,,Darnell Savage,boston_darnellsavage
boston,14609,Metcalf,boston_metcalf
boston,,Drew Lock,boston_drewlock
boston,,Brian Burns,boston_brianburns
boston,33572,Broncos,boston_broncos
boston,154542,Taylor Swift,boston_taylorswift
boston,13934,Green Bay,boston_greenbay
boston,33779,Tyreek Hill,boston_tyreekhill
boston,23847,Quinnen Williams,boston_quinnenwilliams
boston,14702,#FlyEaglesFly,boston_flyeaglesfly
boston,37607,#Supernatural,boston_supernatural
newyorkcity,300581,Giants,newyorkcity_giants
newyorkcity,101774,Daniel Jones,newyorkcity_danieljones
newyorkcity,132478,Haskins,newyorkcity_haskins
newyorkcity,33222,Gettleman,newyorkcity_gettleman
newyorkcity,294766,#NFLDraft,newyorkcity_nfldraft
newyorkcity,104637,Allen,newyorkcity_allen
newyorkcity,,#AvengersEndame,newyorkcity_avengersendame
newyorkcity,43360,Devin Bush,newyorkcity_devinbush
newyorkcity,11832,Josh Jacobs,newyorkcity_joshjacobs
newyorkcity,113689,Raiders,newyorkcity_raiders
newyorkcity,11516,Montez Sweat,newyorkcity_montezsweat
newyorkcity,16264,#HTTR,newyorkcity_httr
newyorkcity,68605,#TaylorSwiftTONIGHT,newyorkcity_taylorswifttonight
newyorkcity,67197,Redskins,newyorkcity_redskins
newyorkcity,32152,Ed Oliver,newyorkcity_edoliver
newyorkcity,,Hollywood Brown,newyorkcity_hollywoodbrown
newyorkcity,,Jeffery Simmons,newyorkcity_jefferysimmons
newyorkcity,70647,Kyler Murray,newyorkcity_kylermurray
newyorkcity,76368,Steelers,newyorkcity_steelers
newyorkcity,49800,Rosen,newyorkcity_rosen
newyorkcity,,Marquise Brown,newyorkcity_marquisebrown
newyorkcity,18624,Dillard,newyorkcity_dillard
newyorkcity,,Noah Fant,newyorkcity_noahfant
newyorkcity,19250,Christian Wilkins,newyorkcity_christianwilkins
newyorkcity,45453,Packers,newyorkcity_packers
newyorkcity,60356,Lions,newyorkcity_lions
newyorkcity,30599,John Havlicek,newyorkcity_johnhavlicek
newyorkcity,36436,Ravens,newyorkcity_ravens
newyorkcity,16042,Rashan Gary,newyorkcity_rashangary
newyorkcity,,Dexter Lawrence,newyorkcity_dexterlawrence
newyorkcity,,Tytus Howard,newyorkcity_tytushoward
newyorkcity,,Jawaan Taylor,newyorkcity_jawaantaylor
newyorkcity,34292,Ferrell,newyorkcity_ferrell
newyorkcity,40512,Nick Bosa,newyorkcity_nickbosa
newyorkcity,14702,#FlyEaglesFly,newyorkcity_flyeaglesfly
newyorkcity,28604,Greedy,newyorkcity_greedy
newyorkcity,,Darnell Savage,newyorkcity_darnellsavage
newyorkcity,14609,Metcalf,newyorkcity_metcalf
newyorkcity,,Drew Lock,newyorkcity_drewlock
newyorkcity,,Brian Burns,newyorkcity_brianburns
newyorkcity,33572,Broncos,newyorkcity_broncos
newyorkcity,154542,Taylor Swift,newyorkcity_taylorswift
newyorkcity,,Charlie Coyle,newyorkcity_charliecoyle
newyorkcity,13934,Green Bay,newyorkcity_greenbay
newyorkcity,33779,Tyreek Hill,newyorkcity_tyreekhill
newyorkcity,23847,Quinnen Williams,newyorkcity_quinnenwilliams
newyorkcity,18461,Goodell,newyorkcity_goodell
newyorkcity,56410,Jets,newyorkcity_jets
newyorkcity,37607,#Supernatural,newyorkcity_supernatural
newyorkcity,,#HereWeGo,newyorkcity_herewego
miami,132478,Haskins,miami_haskins
miami,25024,Dolphins,miami_dolphins
miami,294766,#NFLDraft,miami_nfldraft
miami,256833,#Endgame,miami_endgame
miami,761203,#AvengersEndgame,miami_avengersendgame
miami,637327,America,miami_america
miami,199997,Dame,miami_dame
miami,13217017,#BBMAsTopSocial,miami_bbmastopsocial
miami,300581,Giants,miami_giants
miami,101774,Daniel Jones,miami_danieljones
miami,43360,Devin Bush,miami_devinbush
miami,48083,Josh Allen,miami_joshallen
miami,11832,Josh Jacobs,miami_joshjacobs
miami,113689,Raiders,miami_raiders
miami,11516,Montez Sweat,miami_montezsweat
miami,16264,#HTTR,miami_httr
miami,67197,Redskins,miami_redskins
miami,32152,Ed Oliver,miami_edoliver
miami,,Hollywood Brown,miami_hollywoodbrown
miami,,Jeffery Simmons,miami_jefferysimmons
miami,70647,Kyler Murray,miami_kylermurray
miami,33222,Gettleman,miami_gettleman
miami,76368,Steelers,miami_steelers
miami,49800,Rosen,miami_rosen
miami,,Marquise Brown,miami_marquisebrown
miami,18624,Dillard,miami_dillard
miami,,Noah Fant,miami_noahfant
miami,19250,Christian Wilkins,miami_christianwilkins
miami,45453,Packers,miami_packers
miami,60356,Lions,miami_lions
miami,30599,John Havlicek,miami_johnhavlicek
miami,36436,Ravens,miami_ravens
miami,16042,Rashan Gary,miami_rashangary
miami,,Dexter Lawrence,miami_dexterlawrence
miami,,Tytus Howard,miami_tytushoward
miami,,Jawaan Taylor,miami_jawaantaylor
miami,34292,Ferrell,miami_ferrell
miami,40512,Nick Bosa,miami_nickbosa
miami,,Brian Burns,miami_brianburns
miami,,Darnell Savage,miami_darnellsavage
miami,,Drew Lock,miami_drewlock
miami,33572,Broncos,miami_broncos
miami,14609,Metcalf,miami_metcalf
miami,28604,Greedy,miami_greedy
miami,154542,Taylor Swift,miami_taylorswift
miami,,Charlie Coyle,miami_charliecoyle
miami,13934,Green Bay,miami_greenbay
miami,68605,#TaylorSwiftTONIGHT,miami_taylorswifttonight
miami,14702,#FlyEaglesFly,miami_flyeaglesfly
miami,37607,#Supernatural,miami_supernatural
chicago,297853,#NFLDraft,chicago_nfldraft
chicago,133587,Haskins,chicago_haskins
chicago,43636,Devin Bush,chicago_devinbush
chicago,303068,Giants,chicago_giants
chicago,,#AvengersEndame,chicago_avengersendame
chicago,16177,Rashan Gary,chicago_rashangary
chicago,32302,Ed Oliver,chicago_edoliver
chicago,102771,Daniel Jones,chicago_danieljones
chicago,115450,Raiders,chicago_raiders
chicago,48365,Josh Allen,chicago_joshallen
chicago,12649,Josh Jacobs,chicago_joshjacobs
chicago,11961,Montez Sweat,chicago_montezsweat
chicago,16619,#HTTR,chicago_httr
chicago,71816,#TaylorSwiftTONIGHT,chicago_taylorswifttonight
chicago,68654,Redskins,chicago_redskins
chicago,,Hollywood Brown,chicago_hollywoodbrown
chicago,,Jeffery Simmons,chicago_jefferysimmons
chicago,70934,Kyler Murray,chicago_kylermurray
chicago,33455,Gettleman,chicago_gettleman
chicago,50012,Rosen,chicago_rosen
chicago,76865,Steelers,chicago_steelers
chicago,,Marquise Brown,chicago_marquisebrown
chicago,18957,Dillard,chicago_dillard
chicago,31074,John Havlicek,chicago_johnhavlicek
chicago,,Noah Fant,chicago_noahfant
chicago,45817,Packers,chicago_packers
chicago,19442,Christian Wilkins,chicago_christianwilkins
chicago,60586,Lions,chicago_lions
chicago,37721,Ravens,chicago_ravens
chicago,,Dexter Lawrence,chicago_dexterlawrence
chicago,,Jawaan Taylor,chicago_jawaantaylor
chicago,,Tytus Howard,chicago_tytushoward
chicago,34577,Ferrell,chicago_ferrell
chicago,29120,Greedy,chicago_greedy
chicago,,Drew Lock,chicago_drewlock
chicago,40750,Nick Bosa,chicago_nickbosa
chicago,14853,#FlyEaglesFly,chicago_flyeaglesfly
chicago,14825,Metcalf,chicago_metcalf
chicago,,Brian Burns,chicago_brianburns
chicago,,Darnell Savage,chicago_darnellsavage
chicago,155754,Taylor Swift,chicago_taylorswift
chicago,33846,Broncos,chicago_broncos
chicago,,Charlie Coyle,chicago_charliecoyle
chicago,,Mississippi State,chicago_mississippistate
chicago,33966,Tyreek Hill,chicago_tyreekhill
chicago,14021,Green Bay,chicago_greenbay
chicago,23943,Quinnen Williams,chicago_quinnenwilliams
chicago,18555,Goodell,chicago_goodell
chicago,56602,Jets,chicago_jets
chicago,37853,#Supernatural,chicago_supernatural
losangeles,297853,#NFLDraft,losangeles_nfldraft
losangeles,12649,Josh Jacobs,losangeles_joshjacobs
losangeles,133587,Haskins,losangeles_haskins
losangeles,303068,Giants,losangeles_giants
losangeles,102771,Daniel Jones,losangeles_danieljones
losangeles,115450,Raiders,losangeles_raiders
