Attraction_Name,Attraction_Description,Attraction_Type,Entry_Type,Time_To_Spend,City_ID,Attraction_ID
Faneuil Hall Marketplace,Four buildings – Faneuil Hall Quincy Market North Market and South Market – constitute Faneuil Hall Marketplace with the oldest being Faneuil Hall. Built in 1742 and now located on the Freedom Trail Faneuil Hall has had a long and important history in Massachusetts politics. Samuel Adams once stood here to push for resistance against the British and abolitionists and suffragists have stood on their soapboxes here. In fact this is where Jonathan Mayhew famously challenged the Sugar Act of 1764 by proclaiming no taxation without representation. Since Mayhews declaration the marketplace has expanded to include more than 100 shops and restaurants.,shopping,Free,1 to 2 hours,boston,faneuilhallmarketplace
Isabella Stewart Gardner Museum,After Isabella Stewart Gardners husband died in 1898 the art enthusiast bought land in Bostons Fenway area to open a museum to display her impressive collection of Italian art. The museum which was fashioned after the Palazzo Barbaro in Venice was completed in 1902 at which point Gardner moved in to the fourth floor and began installing her collection. Today you can visit this Boston museum to get your fill of the Italian masters such as Raphael and Titian. The building also showcases a cache of beautiful furniture photographs sculpture and rare books straight from Europe. In 2012 the museum unveiled a new wing designed by acclaimed Italian architect Renzo Piano. The most recent addition includes a glass atrium greenhouses and landscaped gardens. ,Museum,Paid,2 hours to half day,boston,isabellastewartgardnermuseum
Boston Common,The grounds of Boston Common started as a cow pasture in the mid-1600s. After a few years overgrazing became a problem and the area was transformed into a British camp. After the Revolutionary War the park became a popular locale for public speeches and rallies. Now the Common is best known because of its status as the oldest public park in the country. Youll also find a variety of activities and events including theater and musical performances hosted here throughout the year. If you plan to traverse the Freedom Trail youll start the walk here at Boston Common.,Recreation,Free,1 to 2 hours,boston,bostoncommon
Museum of Fine Arts,If you want to make the most out of the Museum of Fine Arts one of the oldest art institutions in the country then youll need to spend a good chunk of your day here. The museum is home to one of the best art collections in the world including the celebrated Art of the Americas wing. Inside this sprawling collection which debuted in 2010 youll encounter 53 galleries showcasing iconic pieces from pre-Columbian times to the 20th century. John Singer Sargents dazzling pieces are one standout here and as you delve deeper into the collection youll see his paintings sharing wall space with those by masters like John Singleton Copley and Edward Hopper.,Museum,Paid,Half day to full day,boston,museumoffinearts
Freedom Trail,Stretching 2½ miles the Freedom Trail weaves past 16 of the citys most historic sites including Faneuil Hall Marketplace the Paul Revere House and Old North Church. Taking in all of the trails attractions requires at least half a day (and some comfortable walking shoes) but you can easily plot points of interest before you begin your jaunt from Boston Common. ,Sughtseeing,Free,2 hours to half day,boston,freedomtrail
Boston Public Garden,Though the Boston Public Garden sits right next to Boston Common the two are actually quite different. The public garden is newer (established in 1837) and holds the distinction of being Americas first public botanical garden. Flowers and trees are beautifully organized and kept in quality condition throughout. You can see the colorful arrangements and exotic trees from the 4-acre pond in the center of the garden before taking in the lagoon by Swan Boat. Additionally the park houses two of Bostons most iconic statues: Make Way for Ducklings (a bronze sculpture of a duck and her eight ducklings) and the George Washington Statue (which shows Americas first president riding on a horse).,Recreation,Free,1 to 2 hours,boston,bostonpublicgarden
Samuel Adams Brewery,Despite its location outside of the city center touring the Samuel Adams Brewery is a must for beer lovers. This brewery location is the smallest of the brands three sites but acts as Samuel Adams testing facility for new and specialty brews. Its also the only of the three locales to host public tours and tastings. ,Wineries/Breweries,Free,1 to 2 hours,boston,samueladamsbrewery
Old North Church,Most people who know anything about American history have heard of Paul Reveres famous midnight ride when he rode through town to warn people about the arrival of British troops. Before heading off to Lexington Revere gave orders at Old North Church. Robert Newman – the churchs sexton – and Captain John Pulling Jr. – the churchs vestryman – then climbed the steeple and held two lanterns as a signal (from Revere) that the British Regulars were indeed coming but by sea. ,Sightseeing,Paid,Less than 1 hour,boston,oldnorthchurch
Fenway Park,Fans of Americas favorite pastime wont want to miss a game at Fenway Park. Home to the Boston Red Sox this stadium has been the site of home runs stolen bases and grounders since 1912. Regardless of whether youre a diehard Red Sox fan who believes in the legendary 1919 Curse of the Bambino or not you should try to catch a game and admire the ballparks original architecture. Must-see features of the park include Peskys Pole – the right field foul pole named after former Red Sox player Johnny Pesky – and the 37-foot-tall Green Monster wall in left field.,Sports,Paid,2 hours to half day,boston,fenwaypark
Boston Children's Museum,With a giant milk bottle statue at the front of the building its hard to miss the Boston Childrens Museum. Here hands-on exhibits present a fun and engaging way for kids to learn about various sciences culture art and health and wellness among other subjects. Among the museums standout exhibits are Construction Zone where little ones can learn about and play with kid-sized construction equipment Explore-a-Saurus where kids learn about the science of dinosaurs and fossils and Japanese House – a fully-equipped Japanese house reconstructed in Boston by Japanese carpenters.,Museum,Paid,2 hours to half day,boston,bostonchildrensmuseum
