state_id,state_name,state_description
massachusetts ,massachusetts ,"Massachusetts, officially the Commonwealth of Massachusetts, is the most populous state in the New England region of the northeastern United States. It borders on the Atlantic Ocean to the east, the states of Connecticut and Rhode Island to the south, New Hampshire and Vermont to the north, and New York to the west. The state is named after the Massachusett tribe, which once inhabited the east side of the area, and is one of the original thirteen states. The capital of Massachusetts is Boston, which is also the most populous city in New England. Over 80% of Massachusetts's population lives in the Greater Boston metropolitan area, a region influential upon American history, academia, and industry.[41] Originally dependent on agriculture, fishing and trade,[42] Massachusetts was transformed into a manufacturing center during the Industrial Revolution.[43] During the 20th century, Massachusetts's economy shifted from manufacturing to services.[44] Modern Massachusetts is a global leader in biotechnology, engineering, higher education, finance, and maritime trade.[45] "
newyork,New york,"The City of New York, usually called either New York City (NYC) or simply New York (NY), is the most populous city in the United States.[11] With an estimated 2017 population of 8,622,698[7] distributed over a land area of about 302.6 square miles (784 km2),[12][13] New York is also the most densely populated major city in the United States.[14] Located at the southern tip of the state of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban landmass[15] and one of the world's most populous megacities,[16][17] with an estimated 20,320,876 people in its 2017 Metropolitan Statistical Area and 23,876,155 residents in its Combined Statistical Area.[4][5] A global power city,[18] New York City has been described as the cultural,[19][20][21][22] financial,[23][24] and media capital of the world,[25][26] and exerts a significant impact upon commerce,[24] entertainment, research, technology, education, politics, tourism, art, fashion, and sports. The city's fast pace[27][28][29]has inspired the term New York minute.[30] Home to the headquarters of the United Nations,[31] New York is an important center for international diplomacy.[32][33]"
florida,florida,"Florida (/ˈflɒrɪdə/ (listen); Spanish for ""land of flowers"") is the southernmost contiguous state in the United States. The state is bordered to the west by the Gulf of Mexico, to the northwest by Alabama, to the north by Georgia, to the east by the Atlantic Ocean, and to the south by the Straits of Florida. Florida is the 22nd-most extensive (65,755 sq mi or 170,300 km2), the 3rd-most populous (21,312,211 inhabitants),[10] and the 8th-most densely populated (384.3/sq mi or 148.4/km2) of the U.S. states. Jacksonville is the most populous municipality in the state and the largest city by area in the contiguous United States. The Miami metropolitan area is Florida's most populous urban area. Tallahassee is the state's capital."
illinois,Illinois,"Illinois (/ˌɪlɪˈnɔɪ/ (listen) IL-ih-NOY) is a state in the Midwestern and Great Lakes region of the United States. It has the fifth largest gross domestic product (GDP),the sixth largest population, and the 25th largest land area of all U.S. states. Illinois is often noted as a microcosm of the entire United States.[6] With Chicago in northeastern Illinois, small industrial cities and immense agricultural productivity in the north and center of the state, and natural resources such as coal, timber, and petroleum in the south, Illinois has a diverse economic base, and is a major transportation hub. Chicagoland, Chicago's metropolitan area, encompasses over 65% of the state's population. The Port of Chicago connects the state to international ports via two main routes: from the Great Lakes, via the Saint Lawrence Seaway, to the Atlantic Ocean and from the Great Lakes to the Mississippi River, via the Illinois Waterway to the Illinois River. The Mississippi River, the Ohio River, and the Wabash River form parts of the boundaries of Illinois. For decades, Chicago's O'Hare International Airport has been ranked as one of the world's busiest airports. Illinois has long had a reputation as a bellwether both in social and cultural terms[6] and, through the 1980s, in politics."
california,California,"California is a state in the Pacific Region of the United States. With 39.6 million residents, California is the most populous U.S. state and the third-largest by area. The state capital is Sacramento. The Greater Los Angeles Area and the San Francisco Bay Area are the nation's second and fifth most populous urban regions, with 18.7 million and 9.7 million residents respectively.[12] Los Angeles is California's most populous city, and the country's second most populous, after New York City. California also has the nation's most populous county, Los Angeles County, and its largest county by area, San Bernardino County. The City and County of San Francisco is both the country's second-most densely populated major city after New York City and the fifth-most densely populated county, behind only four of the five New York City boroughs."
nevada,nevada,"Nevada (/nɪˈvædə/) is a state in the Western United States.[5] It is bordered by Oregon to the northwest, Idaho to the northeast, California to the west, Arizona to the southeast and Utah to the east. Nevada is the 7th most extensive, the 32nd most populous, but the 9th least densely populated of the U.S. states. Nearly three-quarters of Nevada's people live in Clark County, which contains the Las Vegas–Paradise metropolitan area[6] where three of the state's four largest incorporated cities are located.[7] Nevada's capital, however, is Carson City."
washington,Washington,"Washington (/ˈwɒʃɪŋtən/ (listen)), officially the State of Washington, is a state in the Pacific Northwest region of the United States. Named for George Washington, the first president of the United States, the state was made out of the western part of the Washington Territory, which was ceded by Britain in 1846 in accordance with the Oregon Treaty in the settlement of the Oregon boundary dispute. It was admitted to the Union as the 42nd state in 1889. Olympia is the state capital; the state's largest city is Seattle. Washington is sometimes referred to as Washington State to distinguish it from Washington, D.C., the capital of the United States."
colorado,Colarado,"Colorado (/ˌkɒləˈrædoʊ, -ˈrɑːdoʊ/ (listen), other variants)[8][9][10] is a state of the Western United States encompassing most of the southern Rocky Mountains as well as the northeastern portion of the Colorado Plateau and the western edge of the Great Plains. It is the 8th most extensive and 21st most populous U.S. state. The estimated population of Colorado was 5,695,564 on July 1, 2018, an increase of 13.25% since the 2010 United States Census.[11]"
georgia,Georgia,"Georgia is a state in the Southeastern United States. It began as a British colony in 1733, the last and southernmost of the original Thirteen Colonies to be established.[4] Named after King George II of Great Britain,[5] the Province of Georgia covered the area from South Carolina south to Spanish Florida and west to French Louisiana at the Mississippi River. Georgia was the fourth state to ratify the United States Constitution, on January 2, 1788.[6] In 1802–1804, western Georgia was split to the Mississippi Territory, which later split to form Alabama with part of former West Florida in 1819. Georgia declared its secession from the Union on January 19, 1861, and was one of the original seven Confederate states.[6] It was the last state to be restored to the Union, on July 15, 1870.[6] Georgia is the 24th largest and the 8th most populous of the 50 United States. From 2007 to 2008, 14 of Georgia's counties ranked among the nation's 100 fastest-growing, second only to Texas.[7] Georgia is known as the Peach State and the Empire State of the South.[6] Atlanta, the state's capital and most populous city, has been named a global city. Atlanta's metropolitan area contains about 55% of the population of the entire state."
pennsylvania,Pennsylvania,"Pennsylvania (/ˌpɛnsɪlˈveɪniə/ (listen) PEN-sil-VAY-nee-ə), officially the Commonwealth of Pennsylvania, is a state located in the northeastern and Mid-Atlantic regions of the United States. The Appalachian Mountains run through its middle. The Commonwealth is bordered by Delaware to the southeast, Maryland to the south, West Virginia to the southwest, Ohio to the west, Lake Erie and the Canadian province of Ontario to the northwest, New York to the north, and New Jersey to the east."
