Building number,Street Name,City Id,State id,Address Id
395, Chestnut Hill Ave,boston,massachusetts ,adr1
69, Boston St,boston,massachusetts ,adr2
n/a,n,boston,massachusetts ,adr3
50, Forbes Road,boston,massachusetts ,adr4
85, American Legion Hwy,boston,massachusetts ,adr5
1, Seaport Lane,boston,massachusetts ,adr6
200, Stuart St,boston,massachusetts ,adr7
110, Huntington Ave,boston,massachusetts ,adr8
100, Boardman St,boston,massachusetts ,adr9
138,- th Ave,newyorkcity,newyork,adr10
215, Chrystie St,newyorkcity,newyork,adr11
570, Tenth Avenue,newyorkcity,newyork,adr12
93, Bowery,newyorkcity,newyork,adr13
338, West th Street,newyorkcity,newyork,adr14
440, West th Street,newyorkcity,newyork,adr15
215, E th St,newyorkcity,newyork,adr16
49, West th Street,newyorkcity,newyork,adr17
2528, Broadway,newyorkcity,newyork,adr18
11750, Mills Dr,miami,florida,adr19
4441, Collins Avenue,miami,florida,adr20
3025, Collins Ave,miami,florida,adr21
146, Biscayne Blvd,miami,florida,adr22
131, Fairway Drive,miami,florida,adr23
5001, NW th St.,miami,florida,adr24
1601, Collins Ave,miami,florida,adr25
50, Alhambra Plaza,miami,florida,adr26
1000, NW Le Jeune Rd.,miami,florida,adr27
162, E Ohio St,chicago,illinois,adr28
6624, S Cicero Ave,chicago,illinois,adr29
521, North Rush Street,chicago,illinois,adr30
701, North Michigan Avenue,chicago,illinois,adr31
163, East Walton Place,chicago,illinois,adr32
17, E Monroe St,chicago,illinois,adr33
71, E Wacker Dr,chicago,illinois,adr34
505, N Michigan Ave,chicago,illinois,adr35
111, W Huron St,chicago,illinois,adr36
506, S Grand Ave,losangeles,california,adr37
9876, Wilshire Blvd,losangeles,california,adr38
6161, W Century Blvd,losangeles,california,adr39
1020, Fedora Street,losangeles,california,adr40
5249, W Century Blvd,losangeles,california,adr41
3515, Wilshire Blvd,losangeles,california,adr42
899, Francisco Street,losangeles,california,adr43
888, Casino Dr.,losangeles,california,adr44
14400, S Western Avenue,losangeles,california,adr45
2880, Las Vegas Blvd S,lasvegas,nevada,adr46
3555, Las Vegas Blvd S,lasvegas,nevada,adr47
5051, Duke Ellington Way,lasvegas,nevada,adr48
3850, Las Vegas Blvd S,lasvegas,nevada,adr49
3900, S. Las Vegas Blvd,lasvegas,nevada,adr50
3000, Paradise Road,lasvegas,nevada,adr51
5735, Dean Martin Dr,lasvegas,nevada,adr52
3355, Las Vegas Blvd S,lasvegas,nevada,adr53
3535, Las Vegas Blvd South,lasvegas,nevada,adr54
950, New York Ave NW,washingtondc,washington,adr55
975, th Street SW,washingtondc,washington,adr56
10, Thomas Circle NW,washingtondc,washington,adr57
1440, Rhode Island Ave NW,washingtondc,washington,adr58
1931, th St NW,washingtondc,washington,adr59
1767, King St,washingtondc,washington,adr60
