Hotel Id,HOTEL_NAME,LANDMARK,RATING,TOTAL REVIEWERS,PRICE PER NIGHT,Address Id
htl1,Sheraton Boston Hotel,1.3 miles to City center,4,"3,007 reviews",407,adr1
htl2,Hilton Garden Inn Boston Logan Airport,3.4 miles to City center,4.5,"1,284 reviews",210,adr2
htl3,Hyatt Regency Boston,0.3 miles to City center,4,"4,669 reviews",,adr3
htl4,Hyatt Place Boston/Braintree,9.6 miles to City center,4,"1,177 reviews",125,adr4
htl5,Comfort Inn & Suites Logan International Airport,4.9 miles to City center,4.5,"1,301 reviews",,adr5
htl6,Courtyard by Marriott Boston Logan Airport,3.1 miles to City center,3.5,877 reviews,249,adr6
htl7,Revere Hotel Boston Common,0.6 miles to City center,4.5,"4,990 reviews",557,adr7
htl8,Holiday Inn Boston Logan Airport - Chelsea,3.9 miles to City center,4.5,27 reviews,229,adr8
htl9,Hilton Boston Logan Airport,2.2 miles to City center,4,"4,018 reviews",321,adr9
htl10,Crowne Plaza JFK Airport New York City,12 miles to City center,3.5,920 reviews,,adr10
htl11,Hilton Garden Inn New York Times Square South,0.4 miles to City center,4.5,465 reviews,216,adr11
htl12,YOTEL New York,0.5 miles to City center,4.5,"12,442 reviews",,adr12
htl13,Blakely New York,0.6 miles to City center,4.5,"1,611 reviews",195,adr13
htl14,Millennium Hilton New York Downtown,3.4 miles to City center,4,"5,287 reviews",239,adr14
htl15,Pod Brooklyn,3.2 miles to City center,4.5,154 reviews,132,adr15
htl16,Holiday Inn GW Bridge-Fort Lee NYC Area,7.7 miles to City center,3.5,156 reviews,135,adr16
htl17,Holiday Inn Brooklyn Downtown,4.8 miles to City center,4,436 reviews,171,adr17
htl18,Pod Times Square,0.4 miles to City center,4,750 reviews,199,adr18
htl19,Life House Little Havana,1.2 miles to City center,4.5,39 reviews,128,adr19
htl20,Comfort Suites Miami Airport North,5.9 miles to City center,4,"1,614 reviews",82,adr20
htl21,Mondrian South Beach,3.1 miles to City center,4.5,"4,979 reviews",,adr21
htl22,SpringHill Suites by Marriott Miami Airport South,7.2 miles to City center,4,"1,056 reviews",98,adr22
htl23,Hyatt Regency Miami,0.1 miles to City center,3.5,"4,190 reviews",161,adr23
htl24,Crowne Plaza Miami Airport,4.6 miles to City center,4,"1,711 reviews",108,adr24
htl25,Hyatt Regency Coral Gables,4.3 miles to City center,4,"1,654 reviews",134,adr25
htl26,Fontainebleau Miami Beach,5.2 miles to City center,4,"15,506 reviews",289,adr26
htl27,Ramada by Wyndham Miami Springs/Miami International Airport,6.0 miles to City center,3.5,"1,591 reviews",84,adr27
htl28,The Tremont Chicago Hotel at Magnificent Mile,1.2 miles to City center,3.5,405 reviews,99,adr28
htl29,Hyatt Centric Chicago Magnificent Mile,1.0 mile to City center,4.5,"2,677 reviews",265,adr29
htl30,Edward Hotel Chicago,16 miles to City center,3.5,660 reviews,,adr30
htl31,Hotel Felix Chicago,1.0 mile to City center,3.5,"1,769 reviews",94,adr31
htl32,The Godfrey Hotel Chicago,1.0 mile to City center,4.5,"2,495 reviews",161,adr32
htl33,Dana Hotel and Spa,0.9 miles to City center,4.5,"5,141 reviews",179,adr33
htl34,Loews Chicago Hotel,0.8 miles to City center,4.5,"2,863 reviews",209,adr34
htl35,InterContinental Chicago Magnificent Mile,0.8 miles to City center,4,"5,574 reviews",279,adr35
htl36,Inn of Chicago,0.9 miles to City center,3.5,"2,109 reviews",84,adr36
htl37,The Beverly Hilton,9.2 miles to City center,4,"4,243 reviews",278,adr37
htl38,Sheraton Gateway Los Angeles Hotel,11 miles to City center,4,"1,270 reviews",161,adr38
htl39,Courtyard Los Angeles LAX/Century Boulevard,11 miles to City center,4,"1,015 reviews",,adr39
htl40,Millennium Biltmore Los Angeles,0.1 miles to City center,3.5,"3,631 reviews",152,adr40
htl41,Baymont by Wyndham Monterey Park,7.9 miles to City center,3.5,388 reviews,73,adr41
htl42,The Westin Los Angeles Airport,10 miles to City center,4,"3,929 reviews",161,adr42
htl43,The Bicycle Hotel & Casino,7.8 miles to City center,4,34 reviews,204,adr43
htl44,InterContinental Los Angeles Downtown,0.3 miles to City center,4,646 reviews,279,adr44
htl45,Hotel Figueroa Downtown Los Angeles,0.6 miles to City center,4.5,266 reviews,186,adr45
htl46,"Circus Circus Hotel, Casino & Theme Park",1.6 miles to City center,3.5,"12,431 reviews",19,adr46
htl47,Waldorf Astoria Las Vegas,0.6 miles to City center,4,260 reviews,217,adr47
